"chrom" "TCN" "A" "B" "Seglength" "n_mut_A" "n_mut_B" "n_mut_total" "density_total_mean" "density_A_mean" "density_B_mean" "density_total_lower" "density_total_upper" "density_A_lower" "density_A_upper" "density_B_lower" "density_B_upper" "p_total_to_mrca" "p_A_to_mrca" "p_B_to_mrca" "p_adj_total_to_mrca" "p_adj_A_to_mrca" "p_adj_B_to_mrca" "MRCA_qual" "p_A_to_eca" "p_B_to_eca" "p_adj_A_to_eca" "p_adj_B_to_eca" "A_time" "B_time"
"1" "1" 2 1 1 120039709 28 28 28 0.233256146930513 0.233256146930513 0.233256146930513 0.154997015661355 0.337120077017749 0.154997015661355 0.337120077017749 0.154997015661355 0.337120077017749 0.305289777843384 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"2" "1" 3 2 1 98419467 0 22 22 0.223533013036943 0 0.223533013036943 0.140086949182824 0.33843166806751 0 0.0374811972321892 0.140086949182824 0.33843166806751 0.264010609107014 9.59003570824863e-12 NA 1 3.45241285496951e-10 NA "PASS" 0.00941773473711324 NA 0.0188354694742265 NA "ECA" NA
"3" "10" 2 1 1 128965300 34 34 34 0.263636807730452 0.263636807730452 0.263636807730452 0.182576153310792 0.36840601382855 0.182576153310792 0.36840601382855 0.182576153310792 0.36840601382855 0.44855244335921 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"4" "11" 1 1 0 45089825 3 3 3 0.0665338576940585 0.0665338576940585 0.0665338576940585 0.0137208809946723 0.194440166262396 0.0137208809946723 0.194440166262396 0.0137208809946723 0.194440166262396 0.00272523210174061 NA NA 0.0817569630522184 NA NA "PASS" NA NA NA NA NA NA
"5" "11" 3 2 1 71621734 12.96 18 18 0.25132036038111 0.180950659474399 0.25132036038111 0.148948373414131 0.397194520137253 0.0962401394746941 0.309680222094656 0.148948373414131 0.397194520137253 0.485951582196454 0.0677959020770922 NA 1 1 NA "PASS" 0.00219633673177228 NA 0.0131780203906337 NA "ECA/MRCA" NA
"6" "12" 3 2 1 129564744 13.44 32 32 0.24698076816329 0.103731922628582 0.24698076816329 0.168934662590655 0.348663152372844 0.0559009165366684 0.175862466185705 0.168934662590655 0.348663152372844 0.407976455099491 4.74658787509076e-05 NA 1 0.00166130575628177 NA "PASS" 0.050316902911052 NA 0.050316902911052 NA "ECA" NA
"7" "13" 2 1 1 95649946 24 24 24 0.25091493517414 0.25091493517414 0.25091493517414 0.160765933466251 0.373341534283283 0.160765933466251 0.373341534283283 0.160765933466251 0.373341534283283 0.463243998563024 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"8" "14" 2 1 1 86929848 36 36 36 0.414127032639008 0.414127032639008 0.414127032639008 0.290049482397752 0.573326373344587 0.290049482397752 0.573326373344587 0.290049482397752 0.573326373344587 0.00460937482438461 NA NA 0.133671869907154 NA NA "PASS" NA NA NA NA NA NA
"9" "15" 2 1 1 75387786 22 22 22 0.291824460795281 0.291824460795281 0.291824460795281 0.182884835910019 0.441825740672703 0.182884835910019 0.441825740672703 0.182884835910019 0.441825740672703 0.268326741279154 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"10" "16" 2 1 1 67964837 6 6 6 0.0882809444536739 0.0882809444536739 0.0882809444536739 0.0323975507142149 0.192150450129362 0.0323975507142149 0.192150450129362 0.0323975507142149 0.192150450129362 0.0012749050647832 NA NA 0.0407969620730624 NA NA "PASS" NA NA NA NA NA NA
"11" "17" 2 1 1 35616452 13 13 13 0.364999860176977 0.364999860176977 0.364999860176977 0.194347053182159 0.624160877062063 0.194347053182159 0.624160877062063 0.194347053182159 0.624160877062063 0.0952803751192458 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"12" "17" 4 3 1 26906042 0.99 5.7475 5.7475 0.213613730328675 0.0367947095302981 0.213613730328675 0.0762761377981785 0.472425408527214 0.000902307881316462 0.206432696092412 0.0762761377981785 0.472425408527214 0.292699168764557 0.000879695979186224 NA 1 0.0290299673131454 NA "PASS" 0.23451469157855 NA 0.469029383157099 NA "ECA/MRCA" NA
"13" "18" 3 2 1 46718277 10.08 12 12 0.256858787835861 0.215761381782124 0.256858787835861 0.1327226838593 0.448680610549421 0.103824503089748 0.395865959901146 0.1327226838593 0.448680610549421 0.45617361928199 0.320328622853165 NA 1 1 NA "PASS" 0.000619467566932978 NA 0.00433627296853084 NA "MRCA" NA
"14" "18" 4 3 1 26741562 4.93 9.7325 9.7325 0.363946578737622 0.184357218923861 0.363946578737622 0.172459669729255 0.67470108459741 0.0592530749557753 0.432649653216852 0.172459669729255 0.67470108459741 0.173794589626811 0.171636228970812 NA 1 1 NA "PASS" 0.0267918195714065 NA 0.133959097857032 NA "ECA/MRCA" NA
"15" "19" 2 1 1 55059821 13 13 13 0.236106833692758 0.236106833692758 0.236106833692758 0.125716945047893 0.403749876305607 0.125716945047893 0.403749876305607 0.125716945047893 0.403749876305607 0.4165006519667 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"16" "2" 2 1 1 188146489 37 37 37 0.196655277473714 0.196655277473714 0.196655277473714 0.13846346379127 0.271063395405326 0.13846346379127 0.271063395405326 0.13846346379127 0.271063395405326 0.0453650438655898 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"17" "2" 3 2 1 45096938 4.88 5.33333333333333 5.33333333333333 0.118263757360496 0.108211337984854 0.118263757360496 0.0401788376934409 0.269099402293644 0.0345216734162658 0.254988224178135 0.0401788376934409 0.269099402293644 0.0231121432488044 0.00882084285996447 NA 0.62402786771772 0.246983600079005 NA "PASS" 0.135587290531406 NA 0.406761871594218 NA "ECA/MRCA" NA
"18" "20" 2 1 1 58714681 14 14 14 0.238441217112293 0.238441217112293 0.238441217112293 0.130358032198124 0.400063846414078 0.130358032198124 0.400063846414078 0.130358032198124 0.400063846414078 0.423173781800414 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"19" "21" 3 2 1 32689854 1.95 10 10 0.305905312394482 0.059651535916924 0.305905312394482 0.146693487714336 0.562570761007919 0.00693893319027747 0.218574493423467 0.146693487714336 0.562570761007919 0.248300914673358 0.00185660700628652 NA 1 0.057554817194882 NA "PASS" 0.460776159026127 NA 0.469029383157099 NA "ECA/MRCA" NA
"20" "22" 2 1 1 33789749 4 4 4 0.118379097755358 0.118379097755358 0.118379097755358 0.0322543199011725 0.303097506743945 0.0322543199011725 0.303097506743945 0.0322543199011725 0.303097506743945 0.0601982637463141 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"21" "3" 2 1 1 194609612 60 60 60 0.308309540229698 0.308309540229698 0.308309540229698 0.235272659348436 0.396855492454521 0.235272659348436 0.396855492454521 0.235272659348436 0.396855492454521 0.107038323256663 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"22" "4" 2 1 1 186126675 51 51 51 0.274006936405005 0.274006936405005 0.274006936405005 0.204016161779556 0.36026851807568 0.204016161779556 0.36026851807568 0.204016161779556 0.36026851807568 0.353508649197739 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"23" "5" 2 1 1 175689515 49 49 49 0.278901105737585 0.278901105737585 0.278901105737585 0.206332573397047 0.368722052610358 0.206332573397047 0.368722052610358 0.206332573397047 0.368722052610358 0.311833236373544 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"24" "6" 2 1 1 147357792 61 61 61 0.41395842847591 0.41395842847591 0.41395842847591 0.316645397082107 0.531746919191325 0.316645397082107 0.531746919191325 0.316645397082107 0.531746919191325 0.000523056196646545 NA NA 0.0177839106859825 NA NA "PASS" NA NA NA NA NA NA
"25" "6" 3 2 1 19436089 3 6.66666666666667 6.66666666666667 0.343004534845805 0.154352040680612 0.343004534845805 0.134127415054052 0.718818401450193 0.0318311015603808 0.451082163172968 0.134127415054052 0.718818401450193 0.254669596150375 0.250980271100476 NA 1 1 NA "PASS" 0.032220272572855 NA 0.133959097857032 NA "ECA/MRCA" NA
"26" "8" 2 1 1 140869847 41 41 41 0.291048800528618 0.291048800528618 0.291048800528618 0.208861644241406 0.394840562052537 0.208861644241406 0.394840562052537 0.208861644241406 0.394840562052537 0.233479163534474 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"27" "9" 2 1 1 108434415 25 25 25 0.230554109597032 0.230554109597032 0.230554109597032 0.149202463515198 0.340343346690535 0.149202463515198 0.340343346690535 0.149202463515198 0.340343346690535 0.298573395017829 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
