#chromosome	start	end	crest	length	tcnNbrOfLoci	tcnMean	tcnNbrOfSNPs	tcnNbrOfHets	dhNbrOfLoci	map	dhMax	cluster	neighbour	distDH	errorSNP	distTcn	errorLength	totalError	minStart	maxStart	minStop	maxStop	area	peaks	meanCovT	meanCovB	tcnMeanRaw	AF	BAF	dhMean	c1Mean	c2Mean	A	B	genotype	TCN	CNA.type
1	840009	12839977	NA	11999980	172271	2.9962893	170982	8750	99	mappable	0.31058269	8	edge	0.00372213672	0.000099611515	0.0227770766	0.08504657	0.08514618	840009	840009	12839977	12839977	0.87364711	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
1	13780016	120529963	NA	106750017	1393813	2.9962893	1388178	67721	34	mappable	0.31165000	8	self	0.00051498674	0.000013632336	0.0032384210	0.07499158	0.07500521	13780016	13780016	120529963	120529963	0.86946987	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
1	121220004	121229986	NA	9983	177	3.2218182	175	9	0	mappable	0.25045556	NA	NA	0.05507164466	0.090909090909	0.0616570005	0.15054281	0.24145190	121220004	121220004	121229986	121229986	NA	missing	832270.0	52.444411	0.9920000	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
1	144010127	144019970	NA	9844	155	2.9962893	79	0	3	mappable	NA	8	self	0.01943672932	0.013157894737	0.0246429995	0.15077238	0.16393028	144010127	144010127	144019970	144019970	NA	missing	814730.2	NA	0.9279789	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
1	144920087	145739956	NA	819870	6374	3.0787955	5828	7	38	mappable	0.29615226	NA	NA	0.25970497799	0.001808318264	0.0210570005	0.10180689	0.10361521	144920087	144920087	145739956	145739956	NA	missing	1394622.6	85.669672	0.9514000	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
1	146540101	147829895	NA	1289795	11681	2.9962893	11643	526	4	mappable	0.29963333	8	self	0.01048235895	0.001773049645	0.0054570005	0.09852843	0.10030148	146540101	146540101	147829895	147829895	0.92039994	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
1	149815060	245679935	NA	95864932	1296304	2.9962893	1290758	67593	68	mappable	0.31199286	8	self	0.00129571728	0.000013672970	0.0006107949	0.07543043	0.07544410	149815060	149815060	245679803	245679935	0.88210846	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
1	245679936	248819497	NA	3139565	45101	3.1768833	44741	2897	20	mappable	0.31797500	3	edge	0.00246168867	0.000307031010	0.0346570005	0.09266925	0.09297628	245679936	245680068	248798862	248819497	0.82738467	2	809370.4	52.767139	0.9792443	26.66211	0.6649977	0.32999537	1.0642633	2.1126201	2	1	2:1	3	TCNneutral
10	130013	26020075	NA	25890078	418002	2.9962893	415788	21361	143	mappable	0.31187500	8	edge	0.00096331133	0.000042419615	0.0046429995	0.08121532	0.08125774	130013	130013	26019978	26020075	0.85906937	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
10	26020076	38779987	NA	12759919	161541	3.1768833	160802	9087	21	mappable	0.31222289	3	NA	0.00246168867	0.000101770812	0.0433570005	0.08472740	0.08482917	26020076	26020173	38779954	38779987	0.87249842	2	809370.4	52.767139	0.9792443	26.66211	0.6649977	0.32999537	1.0642633	2.1126201	2	1	2:1	3	TCNneutral
10	39080035	39149984	NA	69950	5043	3.4173295	4754	0	20	mappable	NA	NA	NA	0.05986456551	0.003460207612	0.1171570005	0.12426963	0.12772984	39080035	39080054	39149984	39149984	NA	missing	857363.4	NA	1.0475000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	42410000	46159967	NA	3749971	43646	3.1768833	43373	2308	0	mappable	0.31878070	3	NA	0.00588668867	0.000387446726	0.0958570005	0.09158160	0.09196905	42410000	42410000	46159967	46159967	0.87811129	2	809370.4	52.767139	0.9792443	26.66211	0.6649977	0.32999537	1.0642633	2.1126201	2	1	2:1	3	TCNneutral
10	48310177	48659961	NA	349785	5572	2.7075000	5553	282	1	mappable	0.32160721	NA	NA	0.00595335534	0.003322259136	0.0843429995	0.10860057	0.11192283	48310177	48310177	48659961	48659961	0.87086166	2	812625.6	53.417013	0.8460000	30.98549	0.6731873	0.34637462	0.8848454	1.8226546	2	1	2:1	3	TCNneutral
10	49390096	135439925	NA	86049871	1212541	2.9962893	1207043	66655	180	mappable	0.31384545	8	edge	0.00065836898	0.000013859630	0.0032893988	0.07587636	0.07589022	49390096	49390096	135439925	135439925	0.87403740	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
11	190010	48899996	NA	48710006	695407	1.9685393	692049	37142	144	mappable	0.07187500	NA	edge	0.23949724942	0.000024692577	0.2941125067	0.07831554	0.07834024	190010	190010	48899996	48899996	0.15729458	1	565197.4	29.306534	0.6362305	NA	NA	0.00000000	0.9842696	0.9842696	1	1	1:1	2	DEL
11	48899997	50170092	NA	1270096	0	0.0000000	0	0	NA	mappable	NA	NA	NA	NA	Inf	0.9303429995	0.09863632	Inf	48899997	48899997	50170092	50170092	NA	missing	NA	NA	0.0000000	NA	NA	0.00000000	0.0000000	0.0000000	0	0	NA	0	HomoDel
11	50170093	50640016	NA	469924	9074	2.6705114	9070	54	0	mappable	0.04852787	NA	NA	0.26568216379	0.017241379310	0.0948429995	0.10614546	0.12338684	50170093	50170093	50639971	50640016	0.17603763	1	555747.1	28.857681	0.8355000	NA	NA	0.00000000	1.3352557	1.3352557	sub	sub	sub:sub	sub	NA
11	51230026	51579984	NA	349959	4674	2.8466477	4657	46	0	mappable	0.09101987	NA	NA	0.22358318312	0.015873015873	0.0448429995	0.10859634	0.12446936	51230026	51230058	51579984	51579984	0.23900694	1	601012.7	32.056239	0.8855000	NA	NA	0.00000000	1.4233239	1.4233239	sub	sub	sub:sub	sub	TCNneutral
11	54792817	89349940	NA	34557139	455904	2.0151249	453790	19886	46	mappable	0.07530000	NA	NA	0.23728831133	0.000045454545	0.2808881531	0.07986429	0.07990975	54792817	54792817	89349940	89349940	0.16856092	1	568456.6	29.475528	0.6494548	NA	NA	0.00000000	1.0075624	1.0075624	1	1	1:1	2	DEL
11	89850037	134939862	NA	45089842	665022	2.0002304	662136	34689	62	mappable	0.07328158	NA	edge	0.23728831133	0.000026614856	0.2851162559	0.07865871	0.07868533	89850037	89850037	134939862	134939862	0.14250996	1	563395.9	29.141168	0.6452267	NA	NA	0.00000000	1.0001152	1.0001152	1	1	1:1	2	DEL
12	160107	34819969	NA	34659880	478964	2.9962893	476359	26557	29	mappable	0.31134664	8	edge	0.00096331133	0.000034291201	0.0199429995	0.07985064	0.07988493	160107	160107	34819969	34819969	0.82541896	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
12	38000003	133819926	NA	95819971	1304694	2.9962893	1298644	65813	167	mappable	0.31162500	8	edge	0.00007945420	0.000013915367	0.0033961342	0.07543235	0.07544627	38000003	38000003	133819926	133819926	0.88498881	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
13	19450038	60159977	NA	40709958	553212	3.0681339	550760	29758	42	mappable	0.31162500	2	edge	0.00096331133	0.000031046259	0.0181570005	0.07911743	0.07914848	19450038	19450038	60159914	60159977	0.85020823	2	814707.9	52.743886	0.9483735	27.71155	0.6604984	0.32099671	1.0416365	2.0264974	2	1	2:1	3	TCNneutral
13	60159978	108208714	NA	48048753	706006	2.9962893	703289	37992	111	mappable	0.31321102	8	self	0.00057326072	0.000024565196	0.0043049624	0.07837606	0.07840063	60159978	60160041	108208702	108208714	0.88025604	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
13	108208715	115099984	CTX	6891274	110314	2.9962893	109334	5721	108	mappable	0.31847500	8	edge	0.00373055891	0.000149253731	0.0342501210	0.08804235	0.08819161	108208715	108208778	115099984	115099984	0.88818941	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
14	20330060	107259908	NA	86929891	1220981	2.9962893	1215102	66614	121	mappable	0.31162500	8	edge	0.00109536373	0.000013794435	0.0006537282	0.07583413	0.07584793	20330060	20330060	107259908	107259908	0.86021684	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
15	20850000	20859924	NA	9925	165	2.9942500	151	0	3	mappable	NA	NA	edge	0.08378505154	0.071428571429	0.0029429995	0.15063813	0.22206670	20850000	20850000	20859924	20859924	NA	missing	1580108.0	NA	0.9274000	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
15	22840024	23069956	NA	229934	3437	3.1768833	3425	209	0	mappable	0.33441937	3	NA	0.02673126699	0.004524886878	0.0383570005	0.11229104	0.11681593	22840024	22840073	23069956	23069956	0.73305384	2	809370.4	52.767139	0.9792443	26.66211	0.6649977	0.32999537	1.0642633	2.1126201	2	1	2:1	3	TCNneutral
15	23710146	24329926	NA	619781	10365	3.1768833	10288	809	3	mappable	0.31590340	3	NA	0.00160644858	0.001129943503	0.0525570005	0.10394255	0.10507249	23710146	23710146	24329926	24329926	0.88924084	2	809370.4	52.767139	0.9792443	26.66211	0.6649977	0.32999537	1.0642633	2.1126201	2	1	2:1	3	TCNneutral
15	24329927	24830091	NA	500165	0	0.0000000	0	0	NA	mappable	NA	NA	NA	NA	Inf	0.9303429995	0.10564099	Inf	24329927	24329927	24830091	24830091	NA	missing	NA	NA	0.0000000	NA	NA	0.00000000	0.0000000	0.0000000	0	0	NA	0	HomoDel
